config_id,modelo,tipo,ticker,experimento,n_features,C,l1_ratio,n_seeds,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test,lookback
CNN-05-focal,CNN-LSTM,por_ticker,AMZN,B,66,,,3,0.3929,0.3636,0.403,0.331,0.4082,0.3586,0.2261,0.3171,0.3465,57.9,24.1,18.0,0.0529,0.0735,0.1787,-0.2946,0.4971,1.0372,20.0
CNN-05-focal,CNN-LSTM,por_ticker,MSFT,B,66,,,3,0.2008,0.1463,0.4561,0.231,0.1127,0.1111,0.4693,0.291,0.3289,3.9,3.9,92.1,-0.0599,-0.255,-0.2965,-0.3281,0.4749,0.9445,20.0
CNN-05-focal,CNN-LSTM,por_ticker,GOOGL,B,66,,,3,0.3412,0.455,0.2393,0.3508,0.4311,0.4457,0.1754,0.3033,0.3728,43.0,35.5,21.5,-0.1791,-0.7448,-0.8065,-0.2602,0.4626,0.842,20.0
CNN-05-focal,CNN-LSTM,por_ticker,META,B,66,,,3,0.3309,0.3438,0.3814,0.2666,0.2963,0.0943,0.4093,0.3528,0.3026,31.6,7.0,61.4,-0.0311,0.011,-0.0921,-0.1845,0.4764,0.9819,20.0
CNN-05-focal,CNN-LSTM,global,GLOBAL,B,66,,,3,0.2967,,,0.2755,0.0956,0.2869,0.4439,0.2698,0.3402,5.1,16.2,78.7,-0.5286,-3.5507,-0.3046,-0.7222,0.4824,0.9396,20.0
CNN-01-base,CNN-LSTM,por_ticker,AAPL,B,66,,,3,0.3072,0.3765,0.0851,0.332,0.2787,0.386,0.3313,0.305,0.3377,27.6,30.7,41.7,-0.2344,-0.4374,-0.9824,-0.3767,0.481,0.7853,20.0
CNN-01-base,CNN-LSTM,por_ticker,NVDA,B,66,,,3,0.2371,0.0,0.4237,0.2637,0.0606,0.3743,0.3562,0.2084,0.3202,2.2,24.6,73.2,-0.0222,-0.6302,-0.0588,-0.4025,0.4651,0.988,20.0
CNN-01-base,CNN-LSTM,por_ticker,TSLA,B,66,,,3,0.3429,0.4585,0.1835,0.3783,0.3846,0.4535,0.2969,0.3407,0.386,40.4,31.6,28.1,-0.017,-0.2014,-0.0326,-0.3614,0.5,0.9932,20.0
CNN-01-base,CNN-LSTM,por_ticker,AMZN,B,66,,,3,0.3682,0.1758,0.3562,0.4093,0.2326,0.5953,0.4,0.3163,0.4605,9.6,54.8,35.5,-0.0668,-0.0462,-0.2548,-0.3842,0.5049,0.9372,20.0
CNN-01-base,CNN-LSTM,por_ticker,MSFT,B,66,,,3,0.3202,0.2391,0.3487,0.3839,0.1978,0.4972,0.4565,0.3272,0.4211,12.7,36.0,51.3,0.0777,-0.1174,0.3974,-0.1991,0.4863,1.0985,20.0
CNN-01-base,CNN-LSTM,por_ticker,GOOGL,B,66,,,3,0.2368,0.0,0.4684,0.3041,0.0,0.4809,0.4314,0.2157,0.386,0.0,39.0,61.0,-0.1408,-0.7066,-0.6023,-0.3823,0.4676,0.8744,20.0
CNN-01-base,CNN-LSTM,por_ticker,META,B,66,,,3,0.2839,0.0,0.3291,0.278,0.0,0.4646,0.3692,0.1846,0.3596,0.0,47.4,52.6,-0.1211,-0.0789,-0.4339,-0.3458,0.4417,0.893,20.0
CNN-01-base,CNN-LSTM,global,GLOBAL,B,66,,,3,0.3392,,,0.378,0.2533,0.5004,0.3805,0.3169,0.4041,15.4,42.0,42.7,0.2265,-2.7956,0.0905,-0.457,0.5043,1.0226,20.0
CNN-06-deeper,CNN-LSTM,por_ticker,AAPL,B,66,,,3,0.28,0.2857,0.0,0.3641,0.3393,0.5678,0.1852,0.2622,0.4211,23.2,59.2,17.5,0.066,-0.1371,0.247,-0.2299,0.5054,1.0788,20.0
CNN-06-deeper,CNN-LSTM,por_ticker,NVDA,B,66,,,3,0.1774,0.0,0.4453,0.1479,0.0,0.0794,0.3643,0.1822,0.2368,0.0,4.8,95.2,-0.3484,-0.9564,-1.0669,-0.5228,0.4562,0.8241,20.0
CNN-06-deeper,CNN-LSTM,por_ticker,TSLA,B,66,,,3,0.2983,0.3824,0.3145,0.4018,0.3497,0.4183,0.4375,0.3936,0.4035,34.6,23.2,42.1,1.4029,1.2185,1.6319,-0.23,0.52,1.3754,20.0
CNN-06-deeper,CNN-LSTM,por_ticker,AMZN,B,66,,,3,0.3949,0.3731,0.2472,0.3509,0.3648,0.4898,0.198,0.2814,0.3816,41.7,46.5,11.8,0.0579,0.0785,0.222,-0.2617,0.4918,1.055,20.0
CNN-06-deeper,CNN-LSTM,por_ticker,MSFT,B,66,,,3,0.2738,0.1684,0.1176,0.3138,0.3438,0.5977,0.0,0.1719,0.4386,28.9,71.1,0.0,0.1342,-0.0608,0.7543,-0.148,0.5606,1.2998,20.0
CNN-06-deeper,CNN-LSTM,por_ticker,GOOGL,B,66,,,3,0.2828,0.3088,0.0706,0.3131,0.3279,0.5425,0.069,0.1984,0.3947,23.2,67.1,9.6,-0.0797,-0.6455,-0.4339,-0.1668,0.4933,0.8769,20.0
CNN-06-deeper,CNN-LSTM,por_ticker,META,B,66,,,3,0.2521,0.0,0.2276,0.2835,0.0,0.4593,0.3913,0.1957,0.3684,0.0,52.2,47.8,-0.0161,0.0261,-0.0596,-0.2883,0.5138,0.984,20.0
CNN-06-deeper,CNN-LSTM,global,GLOBAL,B,66,,,3,0.271,,,0.3286,0.0,0.5956,0.3904,0.1952,0.4436,0.0,61.4,38.6,-0.4775,-3.4996,-0.3207,-0.6188,0.4789,0.9097,20.0
CNN-01-base,CNN-LSTM,por_ticker,AAPL,A,66,,,3,0.4034,0.3014,0.3656,0.3369,0.1667,0.5418,0.3022,0.2344,0.4021,9.0,62.9,28.1,0.2663,-0.2286,0.647,-0.1334,0.4888,1.2231,20.0
CNN-01-base,CNN-LSTM,por_ticker,NVDA,A,66,,,3,0.3007,0.2895,0.0,0.2783,0.0395,0.5615,0.2338,0.1366,0.4,1.9,79.2,19.0,-0.2547,-2.3045,-0.5654,-0.4066,0.44,0.8085,20.0
CNN-01-base,CNN-LSTM,por_ticker,TSLA,A,66,,,3,0.3235,0.4233,0.0745,0.3522,0.3537,0.519,0.1838,0.2687,0.3979,36.9,53.8,9.4,0.0439,-1.3824,0.0477,-0.2816,0.509,1.012,20.0
CNN-01-base,CNN-LSTM,por_ticker,AMZN,A,66,,,3,0.3104,0.3693,0.3898,0.333,0.1889,0.3901,0.4201,0.3045,0.3667,7.7,27.1,65.2,-0.0639,-0.5622,-0.1206,-0.2471,0.4971,0.9754,20.0
CNN-01-base,CNN-LSTM,por_ticker,MSFT,A,66,,,3,0.2244,0.0613,0.4396,0.2464,0.0,0.2764,0.4629,0.2315,0.3458,0.0,15.6,84.4,-0.1343,-0.3787,-0.3546,-0.286,0.4691,0.9325,20.0
CNN-01-base,CNN-LSTM,por_ticker,GOOGL,A,66,,,3,0.3397,0.4211,0.2712,0.3395,0.2892,0.4385,0.2908,0.29,0.3479,20.8,39.0,40.2,-0.4452,-1.7023,-1.2262,-0.4603,0.4403,0.7622,20.0
CNN-01-base,CNN-LSTM,por_ticker,META,A,66,,,3,0.2536,0.3525,0.3445,0.2107,0.0286,0.1345,0.469,0.2488,0.3271,1.5,5.8,92.7,-0.3904,-1.1093,-0.7068,-0.4903,0.4735,0.87,20.0
CNN-01-base,CNN-LSTM,global,GLOBAL,A,66,,,3,0.3172,,,0.3092,0.3167,0.5655,0.0454,0.1811,0.4158,22.5,74.9,2.7,-0.0865,-79.1027,-0.0259,-0.5184,0.5302,0.9903,20.0
