config_id,modelo,tipo,ticker,experimento,lookback,n_features,n_seeds,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
CNN-01-base,CNN-LSTM,por_ticker,TSLA,C,20,66,3,0.3405,0.4183,0.0988,0.3944,0.3952,0.5079,0.28,0.3376,0.4167,45.2,39.0,15.8,0.2468,0.0624,0.4324,-0.3158,0.5252,1.1003
CNN-01-base,CNN-LSTM,por_ticker,AMZN,C,20,66,3,0.3388,0.3148,0.1143,0.3527,0.3226,0.5415,0.1942,0.2584,0.4035,26.3,61.0,12.7,0.0298,0.0504,0.123,-0.2194,0.4831,1.0352
CNN-01-base,CNN-LSTM,por_ticker,MSFT,C,20,66,3,0.3757,0.3521,0.3356,0.339,0.3605,0.4565,0.2,0.2802,0.364,48.2,37.3,14.5,0.0481,-0.1469,0.2498,-0.148,0.5385,1.062
CNN-01-base,CNN-LSTM,por_ticker,GOOGL,C,20,66,3,0.2496,0.2178,0.0,0.3446,0.3448,0.6067,0.0822,0.2135,0.4561,20.6,75.9,3.5,0.129,-0.4368,0.7057,-0.1516,0.5455,1.262
CNN-01-base,CNN-LSTM,por_ticker,META,C,20,66,3,0.2799,0.0,0.3293,0.267,0.0,0.4412,0.3598,0.1799,0.3465,0.0,50.0,50.0,-0.08,-0.0378,-0.2867,-0.2955,0.4386,0.924
CNN-01-base,CNN-LSTM,global,GLOBAL,C,20,66,3,0.3284,,,0.346,0.1197,0.4929,0.4255,0.2726,0.4041,4.8,40.7,54.5,0.9427,-2.0794,0.2918,-0.442,0.4968,1.0723
CNN-01-base,CNN-LSTM,por_ticker,AAPL,A,60,66,3,0.3793,0.351,0.2162,0.3414,0.2949,0.5772,0.152,0.2235,0.425,20.7,69.3,10.0,-0.0823,-0.6877,-0.2399,-0.4105,0.5111,0.9214
CNN-01-base,CNN-LSTM,por_ticker,NVDA,A,60,66,3,0.3003,0.0152,0.3368,0.321,0.0,0.5083,0.4548,0.2274,0.4091,0.5,40.9,58.6,-0.0839,-1.1605,-0.1117,-0.3312,0.4769,0.9753
CNN-01-base,CNN-LSTM,por_ticker,TSLA,A,60,66,3,0.294,0.2915,0.0,0.3171,0.1929,0.5573,0.2013,0.1971,0.4114,12.7,80.0,7.3,0.6017,-0.9834,0.7362,-0.2188,0.5455,1.3367
CNN-01-base,CNN-LSTM,por_ticker,AMZN,A,60,66,3,0.2878,0.3704,0.4053,0.2955,0.2165,0.2656,0.4045,0.3105,0.325,13.9,15.7,70.5,-0.2559,-0.545,-0.564,-0.4484,0.4744,0.8974
CNN-01-base,CNN-LSTM,por_ticker,MSFT,A,60,66,3,0.3451,0.3097,0.2656,0.3476,0.3534,0.5755,0.1139,0.2337,0.4341,25.7,69.8,4.5,0.1634,-0.0104,0.5945,-0.1117,0.5789,1.2059
CNN-01-base,CNN-LSTM,por_ticker,GOOGL,A,60,66,3,0.3422,0.3891,0.0915,0.2993,0.2778,0.5643,0.0559,0.1669,0.4114,18.4,79.3,2.3,0.1988,-0.8963,0.6634,-0.1749,0.5714,1.2744
CNN-01-base,CNN-LSTM,por_ticker,META,A,60,66,3,0.3089,0.373,0.0,0.2978,0.3388,0.5547,0.0,0.1694,0.4045,27.3,70.9,1.8,0.1115,-0.268,0.261,-0.2986,0.5078,1.0913
CNN-01-base,CNN-LSTM,global,GLOBAL,A,60,66,3,0.336,,,0.3283,0.2342,0.5622,0.1885,0.2114,0.4127,12.8,74.2,13.0,0.8164,-35.8778,0.1895,-0.4713,0.5025,1.071
CNN-01-base,CNN-LSTM,por_ticker,AAPL,C,60,66,3,0.3006,0.3061,0.0,0.3101,0.3448,0.5854,0.0,0.1724,0.4255,37.8,62.2,0.0,0.007,-0.2207,0.0327,-0.2299,0.5352,1.011
CNN-01-base,CNN-LSTM,por_ticker,NVDA,C,60,66,3,0.1844,0.0,0.5234,0.2061,0.0,0.2439,0.3744,0.1872,0.2819,0.0,13.8,86.2,-0.3076,-1.0105,-1.2124,-0.463,0.463,0.7884
CNN-01-base,CNN-LSTM,por_ticker,TSLA,C,60,66,3,0.3499,0.5134,0.2,0.3156,0.3571,0.3759,0.2136,0.2854,0.3245,47.3,21.8,30.9,-0.3513,-1.044,-1.0393,-0.5357,0.4626,0.8153
CNN-01-base,CNN-LSTM,por_ticker,AMZN,C,60,66,3,0.2757,0.0,0.3546,0.3041,0.0,0.48,0.4324,0.2162,0.3936,0.0,50.5,49.5,-0.026,-0.236,-0.118,-0.2435,0.5054,0.9686
CNN-01-base,CNN-LSTM,por_ticker,MSFT,C,60,66,3,0.3274,0.3158,0.2143,0.3472,0.2947,0.5319,0.2151,0.2549,0.3936,21.8,55.9,22.3,-0.0861,-0.3684,-0.6043,-0.1752,0.4337,0.8339
CNN-01-base,CNN-LSTM,por_ticker,GOOGL,C,60,66,3,0.3319,0.3824,0.1493,0.3472,0.3964,0.6452,0.0,0.1982,0.4894,28.2,71.8,0.0,0.187,-0.8166,1.0889,-0.0786,0.5283,1.4155
CNN-01-base,CNN-LSTM,por_ticker,META,C,60,66,3,0.3444,0.2222,0.3411,0.3374,0.25,0.3974,0.3649,0.3074,0.3564,11.7,41.0,47.3,0.0758,-0.0632,0.2877,-0.2136,0.4955,1.0782
CNN-01-base,CNN-LSTM,global,GLOBAL,C,60,66,3,0.3402,,,0.319,0.1532,0.423,0.3808,0.267,0.3571,8.3,34.8,56.9,-0.1243,-11.6562,-0.0728,-0.642,0.4848,0.9827
CNN-01-base,CNN-LSTM,por_ticker,AAPL,B,60,66,3,0.2692,0.2128,0.0299,0.365,0.3,0.6066,0.1882,0.2441,0.4468,18.6,65.4,16.0,-0.1952,-0.4229,-0.9882,-0.2973,0.4769,0.7148
CNN-01-base,CNN-LSTM,por_ticker,NVDA,B,60,66,3,0.2045,0.0833,0.5301,0.1726,0.0392,0.1132,0.3653,0.2023,0.25,0.5,4.8,94.7,-0.3408,-1.0437,-1.3348,-0.506,0.4693,0.7813
CNN-01-base,CNN-LSTM,por_ticker,TSLA,B,60,66,3,0.3695,0.5,0.1429,0.346,0.3415,0.4886,0.2078,0.2746,0.383,38.3,44.7,17.0,0.0603,-0.6324,0.1536,-0.2156,0.4712,1.038
CNN-01-base,CNN-LSTM,por_ticker,AMZN,B,60,66,3,0.3859,0.4277,0.3448,0.322,0.3851,0.3281,0.2529,0.319,0.3351,57.4,25.5,17.0,0.1196,-0.0904,0.4464,-0.1685,0.5286,1.1031
CNN-01-base,CNN-LSTM,por_ticker,MSFT,B,60,66,3,0.3423,0.2286,0.2906,0.3474,0.0667,0.5888,0.3866,0.2266,0.4415,3.2,60.6,36.2,0.0749,-0.2075,0.4848,-0.18,0.473,1.1602
CNN-01-base,CNN-LSTM,por_ticker,GOOGL,B,60,66,3,0.2661,0.0,0.4593,0.2342,0.0,0.3459,0.3568,0.1784,0.2979,0.0,27.1,72.9,-0.4293,-1.433,-2.6847,-0.4747,0.4307,0.5639
CNN-01-base,CNN-LSTM,por_ticker,META,B,60,66,3,0.3267,0.1639,0.4162,0.3262,0.2286,0.3407,0.4094,0.319,0.3511,10.6,29.8,59.6,0.0211,-0.1179,0.0752,-0.2939,0.5076,1.0182
CNN-01-base,CNN-LSTM,global,GLOBAL,B,60,66,3,0.3108,,,0.3044,0.1787,0.3241,0.4102,0.2945,0.3404,8.3,20.4,71.3,-0.5069,-12.0388,-0.3691,-0.6592,0.49,0.9229
